period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,B50Ishare,B50Wshare,GiniGrossInc,GiniNetInc,GiniWealth
2006-10-01,0.009432925942303884,-0.0025599852980924933,0.007459752597129744,0.003952983263467851,0.02905519992612364,-0.008585256470631386,-0.0259101652652447,-7.840091004003482e-4,0.006835917930603804,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-01-01,-0.0026453546365440826,0.0024149397352328126,-0.01046191436974073,0.019821660685310244,0.013812161577080694,0.003841355271511382,-0.014727692383184277,0.004513263788284297,0.0074114183026276126,0.06157594277335943,0.04314917459841228,-0.05001965039469236,-0.3350067612681631,0.04710070782818876,0.07316580508522419,0.03538026191767207
2007-04-01,-0.0042047743257770925,-0.007877431449877136,0.001327670778262481,-0.06528634503934069,-0.009826418805624805,-0.008697161401403896,-0.01608208389142618,-0.0035863534268148114,0.008029917546579224,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-07-01,4.884141906640895e-4,-0.0019437256039339214,2.305464554654092e-4,0.009826870496828649,0.0026556034443285122,6.224733162785933e-4,-0.012588792357675516,-0.0015354636233540133,0.009094787893973767,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-10-01,0.0020731111200238974,0.0016344256481561235,-0.0022247258303012872,-6.650292327662075e-4,0.01633675011434514,-0.001765241775789328,-0.010689756628292635,-0.002899941175231754,0.00965641830262761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-01,0.015402036226899897,0.01485614632218828,0.01216342742079082,0.08973644021499974,0.016370438594524847,0.016713715983399956,0.004182356405625143,-0.002698465249341383,0.009051127223998576,0.057503723218938596,0.04977939945053089,-0.050543347709620434,-0.39728369078967773,0.046274261500157565,0.0678267641058039,0.03928702557921604
2008-04-01,-0.003847211387226933,0.012408549541850156,-0.004220125310402699,-0.026152797475698625,-0.01649108105314985,0.002406434387175771,-7.371165276550684e-4,-0.004123877058499056,0.010008605802627614,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-07-01,-0.009094317266257588,-0.01929218711584808,-0.006535491633864331,-0.018600146831445924,-0.00517718994921308,-0.00603059613766802,-0.010621696655360502,-0.0022833681738023883,0.010314759921945794,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-10-01,-0.0069840715903849975,0.01035212501544629,-0.011049549341031726,0.023708761305946263,-0.01667118326639956,0.01474773425028183,-0.010402664557512153,-0.0013506615854131012,0.008466379240127612,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-01-01,-0.02581656129078408,0.0070681646289527,-0.012302888832259915,0.001443592233482698,-0.11237344117010524,-0.013911345895435112,-0.022187185902219575,0.0046590413128399875,-0.0010303201202890564,0.07074537055702079,0.03513443809086003,-0.049496227195094944,-0.3126177663746841,0.04854534743553718,0.05895454567068337,0.029753815933092953
2009-04-01,0.011359076578057627,0.013702919631770328,0.011534523483150674,0.04352169137767517,0.002486837426263143,0.008108673811918344,-0.024893210388522213,-0.00274742300035726,-0.0015455347911223897,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-07-01,-0.001702704824838973,0.007585113557202638,-0.005033369313550117,0.01840992074791528,-0.0050669231030347605,0.007281331974176986,-0.023506651715534232,-0.0011028990004988883,-0.0034858807725390564,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-10-01,-0.015845912112775806,-0.023339250587062054,-0.012099359926124185,-0.011366119485385878,-0.02090442496486007,-0.007124242234100386,-0.03530745072318897,-1.6276744352296778e-4,-0.001966741969705723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-01,0.0366462944306421,0.048982967785003925,0.029743218798331663,0.011083746931944832,0.049532447757482265,0.028943631265418622,0.008816256096491948,-0.006408632507096465,-0.0017807598033807233,0.05559766409864286,0.026209566186881306,-0.039084889006853585,-0.2345639782373179,0.038805347111383504,0.06245906469079976,0.02264290896149712
2010-04-01,0.027204690460514158,-0.0030936734688820746,0.021358051695480464,0.06231002180497294,0.07789485721923788,0.0012890074395760175,0.021717907672230474,-0.009064391205910313,-0.0014894720255473899,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-01,-0.0016891380751188887,6.748570654584434e-5,-0.0030467615045571593,0.001673119198103117,4.622575740269438e-5,-0.004231423848118176,0.02617478863604994,0.002125567125851083,-4.884464794557232e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
