period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,GiniGrossInc,GiniNetInc,GiniWealth
2007-01-01,-0.00266421251773632,0.002102211755937545,-0.010371518147479076,0.01980928180160853,0.013751564541267877,0.003712015385522208,-0.014581384350957016,0.004513263788284297,0.0074114183026276126,0.06157594277335943,0.04314917459841228,0.04710070782818876,0.07316580508522419,0.03538026191767207
2007-04-01,-0.00422363220696933,-0.008190159429172405,0.0014180670005241366,-0.06516489790231687,-0.009905207056032742,-0.008826501287393072,-0.01593577585919892,-0.0035863534268148114,0.008029917546579224,NaN,NaN,NaN,NaN,NaN
2007-07-01,4.695563094718521e-4,-0.002256453583229189,3.2094267772706485e-4,0.010094843657953175,0.0025587626879797947,4.931334302894193e-4,-0.012442484325448255,-0.0015354636233540133,0.009094787893973767,NaN,NaN,NaN,NaN,NaN
2007-10-01,0.00205425323883166,0.0013216976688608557,-0.0021343296080396316,-5.403843268642441e-4,0.01625816363524975,-0.001894581661778502,-0.010543448596065375,-0.002899941175231754,0.00965641830262761,NaN,NaN,NaN,NaN,NaN
2008-01-01,0.01538317834570766,0.014543418342893012,0.012253823643052475,0.08972686982258733,0.01630914217860176,0.016584376097410782,0.004328664437852403,-0.002698465249341383,0.009051127223998576,0.057503723218938596,0.04977939945053089,0.046274261500157565,0.0678267641058039,0.03928702557921604
2008-04-01,-0.0038660692684191703,0.012095821562554888,-0.0041297290881410435,-0.026028875277159063,-0.01656976646772283,0.002277094501186597,-5.908084954278081e-4,-0.004123877058499056,0.010008605802627614,NaN,NaN,NaN,NaN,NaN
2008-07-01,-0.009113175147449826,-0.01960491509514335,-0.006445095411602675,-0.018342783565978554,-0.005273571718890017,-0.006159936023657195,-0.010475388623133242,-0.0022833681738023883,0.010314759921945794,NaN,NaN,NaN,NaN,NaN
2008-10-01,-0.007002929471577235,0.010039397036151022,-0.010959153118770071,0.023832406135911494,-0.016750137183320895,0.014618394364292655,-0.010256356525284893,-0.0013506615854131012,0.008466379240127612,NaN,NaN,NaN,NaN,NaN
2009-01-01,-0.025835419171976313,0.006755436649657432,-0.01221249260999826,0.0014406248619647974,-0.11243345591890656,-0.014040685781424287,-0.022040877869992315,0.0046590413128399875,-0.0010303201202890564,0.07074537055702079,0.03513443809086003,0.04854534743553718,0.05895454567068337,0.029753815933092953
2009-04-01,0.01134021869686539,0.01339019165247506,0.011624919705412328,0.0436493894361026,0.002408078422400835,0.007979333925929168,-0.024746902356294953,-0.00274742300035726,-0.0015455347911223897,NaN,NaN,NaN,NaN,NaN
2009-07-01,-0.0017215627060312103,0.0072723855779073705,-0.004942973091288461,0.018656160587086152,-0.0051655491971633145,0.0071519920881878115,-0.023360343683306972,-0.0011028990004988883,-0.0034858807725390564,NaN,NaN,NaN,NaN,NaN
2009-10-01,-0.01586476999396804,-0.023651978566357323,-0.01200896370386253,-0.011241203188553742,-0.020983280038317325,-0.00725358212008956,-0.03516114269096171,-1.6276744352296778e-4,-0.001966741969705723,NaN,NaN,NaN,NaN,NaN
2010-01-01,0.03662743654944987,0.04867023980570866,0.02983361502059332,0.011149542735925463,0.04946363595402555,0.02881429137942945,0.008962564128719208,-0.006408632507096465,-0.0017807598033807233,0.05559766409864286,0.026209566186881306,0.038805347111383504,0.06245906469079976,0.02264290896149712
2010-04-01,0.027185832579321924,-0.0034064014481773423,0.02144844791774212,0.06243527947904622,0.07781605974521873,0.0011596675535868435,0.021864215704457735,-0.009064391205910313,-0.0014894720255473899,NaN,NaN,NaN,NaN,NaN
2010-07-01,-0.0017079959563111261,-2.452422727494234e-4,-0.0029563652822955037,0.0017983768721763957,-3.2571716616451194e-5,-0.004360763734107351,0.0263210966682772,0.002125567125851083,-4.884464794557232e-4,NaN,NaN,NaN,NaN,NaN
2010-10-01,-0.007245214127195499,-0.0104708336093426,-0.001410585120193342,-0.06728514252277555,-0.013850578997802435,-0.0067044956001682,0.029258863518766276,-0.0011130107120789403,-2.680428798723898e-4,NaN,NaN,NaN,NaN,NaN
2011-01-01,0.014798209463384037,0.0026566360728553125,0.0028969488726058087,0.05592353728365337,0.06125447325645158,0.009686663501397987,0.034699901657803345,-0.004253826446227757,-4.509633528723897e-4,0.058319494848135256,0.020441950537706144,0.04420515254760704,0.06943147159110552,0.01707703188405202
2011-04-01,0.0028874331521213433,-0.0011699024693458508,0.0021655606785866196,-0.011533165863287268,0.01171645946754459,0.001553073842376876,0.032063858300038106,-0.002359503623257561,5.511924511276104e-4,NaN,NaN,NaN,NaN,NaN
2011-07-01,-0.0029552239970185527,-0.01064582862651382,-0.004204849455059967,-2.843192659571039e-4,0.008890297096787089,-0.0041063047646209576,0.03162500003836932,-3.0660744358403623e-4,5.4070346960943295e-5,NaN,NaN,NaN,NaN,NaN
2011-10-01,-0.002650052872626563,-0.002188865876318013,-8.103341464889228e-4,-0.03882253807729944,-0.0037531898700954676,0.001267988307006221,0.030478312647769457,-7.932220367563771e-4,-0.0022124070744307233,NaN,NaN,NaN,NaN,NaN
2012-01-01,0.006902483927408309,0.0029214584958832564,0.007947704401691102,0.023299899078663994,0.0055082494042613854,0.009920649368979042,0.032226847477075715,-0.0038954422321731044,-0.0029561160953723896,0.04546197946454478,0.01138438199274483,0.0429616290713013,0.06245906469079976,0.010008922175654134
2012-04-01,-0.0026820003594123735,0.0013872905515346819,-0.005005602688684685,-0.05709998983976098,0.007746491062325796,0.005335789604673594,0.028142916164999754,-0.0021313869723696057,-0.0038049105997057233,NaN,NaN,NaN,NaN,NaN
2012-07-01,-0.007202548662865982,-0.009510201250046934,-0.005372292091995657,0.006546557148531326,-0.012400621806841242,-0.00556671780010923,0.02505626197402755,0.001359354917533898,-0.00466452952287239,NaN,NaN,NaN,NaN,NaN
2012-10-01,-0.00415029276534209,0.001370024552546801,-0.004087244554877212,0.008035060370523558,-0.01227985410705316,0.001580614709121378,0.02714839235196198,-0.0010644633730705535,-0.00463953096837239,NaN,NaN,NaN,NaN,NaN
2013-01-01,-0.009672364637374887,0.00854771478552645,-0.005278148565124563,-0.0890110634834788,-0.03379122371987734,0.0035411881268564123,0.022491791486035417,0.002966685803449812,-0.0038414312871223894,0.08434376700875224,0.012756830312481204,0.07117859004915805,0.08560147268533036,0.007999409810770353
2013-04-01,0.004458690195075587,-0.008284538360869797,-0.0010014856269127351,0.08567932132243102,0.025253128454234847,-0.008031501876132694,0.023645210503414837,-0.003687156126587895,-0.0024191117055390567,NaN,NaN,NaN,NaN,NaN
