period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare
2000-04-01,0.00395783811601006,-0.012263048344299376,0.008592340507571551,-0.015060556151747369,0.009261610017496506,0.006060975992740619,-0.02998385252766589,-0.00597872056379469,0.005078254106783341,NaN,NaN
2000-07-01,0.0013904580538532168,-0.005213170397660126,0.0018519835762615183,0.004966662087047461,0.006078790855705866,0.0046264822033848345,-0.030332536807478938,-0.004172260326383645,0.006213276439289542,NaN,NaN
2000-10-01,-0.0020492927601534977,0.0013703645826257287,6.477478393333352e-4,0.01945742325979041,-0.015467850668882984,9.150346879139124e-4,-0.031245244664606098,-0.0024771007498931765,0.006936674485687587,NaN,NaN
2001-01-01,0.003627605295029846,7.719508757506504e-4,0.008576584233948838,-0.015583071467361683,-0.005014636419781811,-8.375176367355101e-5,-0.033698868147553185,1.7942499001264746e-4,0.0062280348527510776,-0.06905684108530963,-0.008205392421736124
2001-04-01,-0.010158230205993567,-0.010047396843663191,-0.005259254504909349,-0.02504031253687564,-0.02236813567626503,-0.0023466622232390546,-0.03409715949084546,-0.0024460858507438146,0.005837608945493016,NaN,NaN
2001-07-01,-0.005838352414134184,-0.005720413160547953,2.8157632520989847e-4,-0.011649932808829951,-0.023175791403946076,-0.004900381517112213,-0.0367817643185937,-0.0010399010875432792,0.005061045670058775,NaN,NaN
2001-10-01,-0.004537556323045499,0.013574795519880157,-0.002736985246367751,0.033894297991367256,-0.03402099379352472,-0.0018260046324964532,-0.03908791508479226,0.004528569868593272,0.0029967935333066386,NaN,NaN
2002-01-01,-0.011932891323764926,-0.00976769545461954,-0.00745740336233166,0.05698663766941928,-0.03860327876590028,-0.0024976872518713447,-0.04142426977269231,-0.0037963310292910193,0.002769907332589792,-0.06843955711509175,-0.008380477776293471
2002-04-01,-0.0060899375266459605,-2.8975090735029307e-4,-0.005187505572952744,-0.04987951228906115,-0.008820876480087643,1.7663000256721824e-4,-0.04102849832276867,-0.005556566974925589,0.0029813967079098174,NaN,NaN
2002-07-01,-0.0027929244282739124,-0.0038593284350201358,0.0028497004140807585,-0.004581550724286095,-0.01978019847896559,1.2976591438200154e-4,-0.04536883588098206,3.548076103609774e-4,0.002763397068660173,NaN,NaN
2002-10-01,-4.20683133827004e-4,0.011488286808460247,-7.138843294543723e-4,-0.034854867051098165,-0.00813411699239894,0.0010187950292550982,-0.051108092597482724,-9.177751748006471e-4,0.002156745790251085,NaN,NaN
2003-01-01,-0.006000484906579195,-0.028035401608511156,0.004006544812173474,-0.033678344202934224,-0.01015291215517153,-0.00744671322689246,-0.055582402782638596,-7.826528238808108e-4,0.0010796506761637818,-0.09216842567836259,-0.008380477776293471
2003-04-01,-0.0017137106824663623,-0.0034335484331438166,-4.5441663004649416e-4,0.04899710112403846,-0.011784372719859855,8.932767997791688e-4,-0.05620787360911006,-0.004505205449193214,2.641008809768884e-4,NaN,NaN
2003-07-01,0.0037459705538171245,0.015571182782452498,0.0022437994444954095,-0.01858907090374504,-0.001754970501155891,-6.607113973000236e-4,-0.055315664164543143,-8.300820787101783e-4,-2.8599687073376477e-4,NaN,NaN
2003-10-01,-0.0031148674341175625,-0.012244952807032538,-9.124430958130309e-4,-0.02892215615157354,0.0037216328200644615,6.237786794028141e-4,-0.060072533197097044,-0.004305549967670538,-2.604807722489163e-4,NaN,NaN
2004-01-01,-0.011450612226330113,-0.022277148425771342,-0.003422609801970366,-0.049397197567004864,-0.02119190620265241,-0.005411195053069268,-0.055906552014840294,-0.0014842037934346321,-4.793479597489164e-4,-0.05373791406758199,0.006910871435284238
2004-04-01,0.0013324564043343595,-0.004565788017711246,-9.440689777561774e-6,-0.04520191375143631,0.019109644168318975,-0.002521033959709446,-0.056796025799041416,1.6290090507318535e-4,-4.251509111378067e-4,NaN,NaN
2004-07-01,-0.002269564816542135,0.00309814683668085,-0.0034728952048307055,-0.010750495616127039,-0.003382991573925383,-0.00537216974936779,-0.0566360214148629,-0.003924764412692313,-3.430044464913405e-4,NaN,NaN
2004-10-01,-0.0014352198990864257,-0.017208943496200623,0.004978308362519813,-0.044361714817169745,1.2495235990075764e-4,-5.096841594695758e-4,-0.05960075174400181,-0.004440535073931181,-2.2376202224891513e-4,NaN,NaN
2005-01-01,-0.00847012096733487,-0.011991753436188423,-0.0019214207777170306,0.008337586583013782,-0.029747178916586823,-0.0023625636266117636,-0.07701050931491871,-0.003902153230448421,-2.828749254747227e-4,0.00299812755479989,0.019250359623029567
2005-04-01,0.010938273087656748,0.013661200812163033,0.006466159624347967,0.026372146865961923,0.02129525691828429,-0.00787723587864871,-0.06556449364728412,-0.004742518092357281,-3.226466376335304e-4,NaN,NaN
2005-07-01,-8.718635178244999e-4,-0.0055472792222775,-0.002672920039198245,0.041079750514548624,0.004906143694850788,-0.009992958171270733,-0.06439420171571264,-0.004267098960264911,-3.073983858852833e-4,NaN,NaN
2005-10-01,-4.374786965052283e-5,-0.01299400589634404,-0.0038061763517279407,-0.07555054682475368,0.037343455469409675,-0.007885241591578624,-0.05969110361757135,-0.0020700526495694063,2.25534852751081e-4,NaN,NaN
2006-01-01,0.013797840024450204,0.01779580311090333,0.018828867748902058,0.056719221029940786,-0.013573707308684542,0.001753116915230318,-0.04869839057475911,-0.007778923148078506,9.00237977751084e-4,0.017259635671747375,0.026209566186881306
2006-04-01,0.0055487616203694695,-0.016777145084280198,-0.0050063618161085505,0.07719384358033701,0.05593586524268093,-0.014909730474721845,-0.04656245460503072,-0.002470618815004785,0.0016053912035575348,NaN,NaN
2006-07-01,0.004224188531297835,0.002906034654714719,0.0027414691696944554,-0.011611047692535044,0.012592217792946973,0.004831769666527246,-0.03611946296099067,-0.0031373890260986328,0.002420007208520313,NaN,NaN
2006-10-01,0.009412359117232962,-0.0028744222212664467,0.007548439875512714,0.004146152907813531,0.028965523108442272,-0.008716305300499234,-0.025687063075804595,-7.840091004003482e-4,0.003341714168227276,NaN,NaN
2007-01-01,-0.0026659214616150057,0.002100502812058859,-0.01037322709135776,0.01980757285772985,0.013749855597389197,0.0037103064416435347,-0.014504590193744171,0.004513263788284297,0.003917214540251085,0.06157594277335943,0.04314917459841228
2007-04-01,-0.004225341150848016,-0.008191868373051091,0.0014163580566454509,-0.06516660684619555,-0.009906915999911422,-0.008828210231271744,-0.015858981701986075,-0.0035863534268148114,0.004535713784202695,NaN,NaN
